1890,1,1,3600,12,16,2,0,4,266,8.1
1384,1,1,3000,12,16,1,0,4,166,8.1
1524,1,1,3000,12,16,2,0,4,166,8.1
1511,1,1,3600,12,16,1,0,4,166,8.1
1552,1,1,3000,12,16,2,0,4,200,8.1
1739,1,1,3600,12,16,2,0,4,200,8.1
1818,1,1,3800,12,16,2,0,4,200,8.1
1599,1,1,3000,12,16,2,0,4,200,8.1
1472,1,1,3000,12,16,1,0,4,200,8.1
1809,1,1,3600,12,16,2,0,4,200,8.1
1388,1,1,3000,12,16,1,0,3,166,8.1
1527,1,1,3000,12,16,2,0,3,166,8.1
1718,1,1,3600,12,16,2,0,3,166,8.1
1522,1,1,3600,12,16,1,0,3,166,8.1
1457,1,1,3000,12,16,1,0,3,200,8.1
1588,1,1,3000,12,16,2,0,3,200,8.1
1800,1,1,3600,12,16,2,0,3,200,8.1
1608,1,1,3600,12,16,1,0,3,200,8.1
1814,1,1,2800,64,64,1,0,1,200,8.1
1439,1,1,2400,64,64,1,0,1,200,8
1741,1,1,2600,64,64,1,0,1,200,8
1595,1,1,2400,64,64,1,0,1,200,8
1504,1,1,2400,64,64,1,0,1,200,8
1303,1,1,1800,64,64,1,0,2,200,8.1
1389,1,1,2000,64,64,1,0,2,200,8.1
1482,1,1,2200,64,64,1,0,2,200,8.1
1555,1,1,2400,64,64,1,0,2,200,8.1
1630,1,1,2600,64,64,1,0,2,200,8.1
1664,1,1,2600,64,64,1,0,2,200,8.1
1492,1,1,2400,64,64,1,0,2,200,8
2566,1,1,1600,16,16,0.25,9,8,133,8.1
1516,1,1,3000,12,16,2,0,0.5,266,8.1
1350,2,1,2800,12,16,2,0,0.5,266,8.1
1208,1,1,2800,12,16,2,0,0.5,200,8.1
1247,2,2,2800,24,32,2,0,1,166,8.1
1219,2,2,2800,24,32,2,0,1,166,8.1
1303,2,2,2800,24,32,2,0,1,200,8.1
1207,4,4,3160,48,64,2,0,1,200,8.1
1388,1,1,2800,12,16,2,0,0.5,266,8.1
1393,2,1,2800,12,16,2,0,0.5,266,8.1
1868,1,1,1400,16,16,0.25,3,8,100,8
2545,1,1,1600,16,16,0.25,9,32,133,8.1
1775,1,1,3600,12,16,2,0,2,200,8.1
1775,1,1,3600,12,16,2,0,2,200,8.1
1834,1,1,3800,12,16,2,0,8,200,8.1
1800,1,1,3600,12,16,2,0,8,200,8.1
1502,1,1,3600,12,16,1,0,8,200,8
1766,1,1,3600,12,16,2,0,8,200,8.1
1826,1,1,3800,12,16,2,0,8,200,8.1
1783,1,1,3600,12,16,2,0,2,200,8.1
1836,1,1,3800,12,16,2,0,8,200,8.1
1485,1,1,3600,12,16,1,0,2,200,8
1798,1,1,3600,12,16,2,0,8,200,8.1
1832,1,1,3800,12,16,2,0,8,200,8.1
1450,1,1,3600,16,16,1,0,8,200,8
1773,1,1,3600,12,16,2,0,8,200,8.1
1823,1,1,3800,12,16,2,0,8,200,8.1
1227,1,1,3330,12,16,1,8,16,200,8.1
1300,1,1,3660,12,16,1,0,16,200,8.1
1227,1,1,3330,12,16,1,8,16,200,8.1
1300,1,1,3660,12,16,1,0,16,200,8.1
1939,1,1,3600,12,16,2,0,2,200,8.1
1779,1,1,3600,12,16,2,0,2,200,8.1
1830,1,1,3800,12,16,2,0,8,200,8.1
